Zone,Wildlife,Pollution,Safety,Population,Volunteers
"Suffolk County, NY, USA",26,6513,17.24890266,9280308,1856
"Miami-Dade County, FL, USA",31,6251,21.55819623,4518308,903
"Suffolk County, NY, USA",128,11438,8.336420516,9280308,1856
"Milwaukee County, WI, USA",53,8292,19.67596163,1417906,283
"Los Angeles County, CA, USA",24,9197,8.158790724,1214104,242
"King County, WA, USA",140,5647,6.222175912,2726805,545
"San Diego County, CA, USA",55,7038,6.292613663,7853477,1570
"Harris County, TX, USA",117,9670,24.59438374,2538089,507
"King County, WA, USA",8,6622,17.9298753,2726805,545
"Sonoma County, CA, USA",48,758,20.85627408,4304791,860
"Essex County, MA, USA",10,9432,18.01532392,3894399,778
"Baldwin County, AL, USA",145,7306,15.53815536,11219138,2243
"Miami-Dade County, FL, USA",141,6056,2.259993662,4518308,903
"Miami-Dade County, FL, USA",2,6358,4.965391799,4518308,903
"Douglas County, NE, USA",139,1841,16.56876928,10514390,2102
"San Diego County, CA, USA",122,3951,6.505048577,7853477,1570
"Charleston County, SC, USA",134,6726,9.144291,4774582,954
"Santa Cruz County, CA, USA",0,12053,1.158451068,9311168,1862
"Palm Beach County, FL, USA",109,6721,0.146063665,8732606,1746
"Palm Beach County, FL, USA",63,11801,8.122408279,8732606,1746
"Douglas County, NE, USA",6,570,21.73416017,10514390,2102
"San Diego County, CA, USA",148,5639,13.45091973,7853477,1570
"Philadelphia County, Philadelphia, PA, USA",150,8110,3.076568315,5766945,1153
"Maui County, HI, USA",42,5910,1.627685132,5575846,1115
"Monterey County, CA, USA",67,10698,14.46165518,5092501,1018
"Clatsop County, OR, USA",90,5619,21.47890565,3157977,631
"Liberty County, GA, USA",78,5428,18.14896589,7707685,1541
"San Diego County, CA, USA",85,5151,9.634711453,7853477,1570
"Los Angeles County, CA, USA",100,11222,21.46147249,1214104,242
"Colleton County, SC, USA",117,11074,25.09351516,6327439,1265
"Cuyahoga County, OH, USA",78,2903,23.5570656,11208521,2241
"San Luis Obispo County, CA, USA",19,8088,0.331290283,9389152,1877
"Jefferson Parish, LA, USA",54,6376,0.206453575,3236839,647
"Anne Arundel County, MD, USA",138,7328,21.38141521,5778438,1155
"Sussex County, DE, USA",3,8526,2.176322181,2084925,416
"Broward County, FL, USA",31,10642,13.58391629,2737526,547
"Lincoln County, OR, USA",130,3988,3.200910149,3663964,732
"Brevard County, FL, USA",29,2610,24.27731323,10924815,2184
"Carteret County, NC, USA",142,11504,20.99933724,1244281,248
"Martin County, FL, USA",9,12049,15.20861002,1363198,272
"Broward County, FL, USA",59,3689,4.541473785,2737526,547
"San Francisco County, CA, USA",6,2325,24.47421715,1677439,335
"Pinellas County, FL, USA",39,1749,8.166500557,9904308,1980
"San Francisco County, CA, USA",95,804,9.084877462,1677439,335
"Cape May County, NJ, USA",107,6305,6.263092405,2080077,416
"San Diego County, CA, USA",55,12294,8.026682033,7853477,1570
"Santa Cruz County, CA, USA",105,9021,24.00773857,9311168,1862
"Los Angeles County, CA, USA",14,1585,18.1407314,1214104,242
"Volusia County, FL, USA",118,11773,12.65247954,10409900,2081
"Alameda County, CA, USA",35,2924,3.323961647,11589551,2317
"Maui County, HI, USA",26,3146,11.77143556,5575846,1115
"Seminole County, FL, USA",141,11506,4.459609086,5062365,1012
"Brazoria County, TX, USA",14,6176,9.292692473,10194627,2038
"Ulster County, NY, USA",5,11108,10.42784441,4909649,981
"Rockland County, NY, USA",105,7152,13.45220268,8078865,1615
"Pinellas County, FL, USA",139,8465,3.87995874,9904308,1980
"Miami-Dade County, FL, USA",14,941,10.90292123,4518308,903
"Winnebago County, WI, USA",105,8974,8.28308854,5194397,1038
"Palm Beach County, FL, USA",49,10416,15.18386223,8732606,1746
"New Haven County, CT, USA",117,6647,0.477923827,11309618,2261
"Providence County, RI, USA",149,6424,0.085869775,8756613,1751
"Palm Beach County, FL, USA",69,11667,2.54340016,8732606,1746
"Orange County, CA, USA",114,7634,13.00721577,6304735,1260
"San Diego County, CA, USA",72,5935,0.551647717,7853477,1570
"Eagle County, CO, USA",58,7618,10.80424174,2321156,464
"Volusia County, FL, USA",42,12172,19.67192914,10409900,2081
"Suffolk County, NY, USA",62,11682,3.725215222,9280308,1856
"Cook County, IL, USA",16,3713,21.75720257,9067522,1813
"Miami-Dade County, FL, USA",43,8141,6.03890921,4518308,903
"Clatsop County, OR, USA",148,11097,2.483390873,3157977,631
"Los Angeles County, CA, USA",86,8940,6.389922502,1214104,242
"Curry County, OR, USA",9,11505,8.096142095,6583773,1316
"Santa Clara County, CA, USA",145,1977,15.99247506,5755731,1151
"Douglas County, NE, USA",70,5597,15.84051637,10514390,2102
"Galveston County, TX, USA",132,1529,3.430316977,1286716,257
"Brevard County, FL, USA",55,7300,5.025583873,10924815,2184
"Dare County, NC, USA",107,7708,7.664819412,467379,93
"Los Angeles County, CA, USA",102,10897,17.37588562,1214104,242
"Miami-Dade County, FL, USA",140,2551,13.76309377,4518308,903
"Clark County, WA, USA",121,1859,24.06544367,12265879,2453
"Multnomah County, OR, USA",31,3024,25.02010759,8946529,1789
"Honolulu County, HI, USA",90,8779,9.96496102,458547,91
"Dare County, NC, USA",3,639,5.260535528,467379,93
"Escambia County, FL, USA",44,8693,2.985209578,2614549,522
"King County, WA, USA",119,9704,14.4568355,2726805,545
"Fannin County, TX, USA",62,5712,5.163910216,1175963,235
"King County, WA, USA",51,10355,13.79484787,2726805,545
"Charlotte County, FL, USA",109,11635,19.47961204,6584509,1316
"Los Angeles County, CA, USA",119,9118,0.658449005,1214104,242
"Martin County, FL, USA",70,2131,7.284047264,1363198,272
"Kleberg County, TX, USA",44,10308,23.50221191,4696097,939
"El Paso County, CO, USA",147,3410,7.439718562,3180546,636
"Lane County, OR, USA",106,5090,5.88278794,6802530,1360
"Martin County, FL, USA",119,12323,14.45319726,1363198,272
"Los Angeles County, CA, USA",106,3403,4.768156191,1214104,242
"Cook County, IL, USA",11,2713,15.87828605,9067522,1813
"Palm Beach County, FL, USA",113,6938,5.205296666,8732606,1746
"Carroll County, NH, USA",84,77,2.475370814,1872571,374
"Franklin County, FL, USA",125,10868,6.636538585,5890127,1178
"Lincoln County, OR, USA",42,5379,4.039151527,3663964,732
"Colleton County, SC, USA",21,5595,8.873637669,6327439,1265
"Kitsap County, WA, USA",23,6000,4.174595992,3514426,702
"Fairfield County, CT, USA",118,3068,3.833885235,598941,119
"Putnam County, FL, USA",94,10767,24.5986186,6840397,1368
"Los Angeles County, CA, USA",29,1103,3.516787793,1214104,242
"Alameda County, CA, USA",111,5993,0.031728867,11589551,2317
"Manatee County, FL, USA",86,1528,7.445402262,11649638,2329
"Los Angeles County, CA, USA",141,9218,23.46512657,1214104,242
"Cecil County, MD, USA",85,9183,16.84690105,7693974,1538
"Chatham County, GA, USA",17,7891,15.7325168,8833865,1766
"Miami-Dade County, FL, USA",4,3628,19.08274356,4518308,903
"Hillsborough County, FL, USA",59,846,1.122782205,2408043,481
"Kent County, DE, USA",24,5257,2.966028309,736114,147
"Los Angeles County, CA, USA",10,2116,5.379604133,1214104,242
"Pinellas County, FL, USA",33,6863,4.936931254,9904308,1980
"Suffolk County, NY, USA",136,6940,1.088145611,9280308,1856
"Duval County, FL, USA",42,6717,7.797931763,295351,59
"Los Angeles County, CA, USA",22,6295,16.67273559,1214104,242
"Miami-Dade County, FL, USA",80,7798,8.035196712,4518308,903
"San Diego County, CA, USA",86,6955,9.248824593,7853477,1570
"Hampden County, MA, USA",119,11209,13.73529051,3232556,646
"Curry County, OR, USA",138,1714,21.11333389,6583773,1316
"Manatee County, FL, USA",135,3808,0.508384427,11649638,2329
"Suffolk County, NY, USA",30,7865,16.7847864,9280308,1856
"Dauphin County, PA, USA",5,7505,23.70206165,6398869,1279
"Washington, DC, USA",23,5465,0.216386496,8678626,1735
"Honolulu County, HI, USA",43,10651,20.46047324,458547,91
"Palm Beach County, FL, USA",8,273,2.901821972,8732606,1746
"Palm Beach County, FL, USA",128,3805,14.92767269,8732606,1746
"Hampton, VA, USA",131,3736,4.22637515,9345868,1869
"Hampshire County, MA, USA",139,4657,10.09821933,5847155,1169
"Racine County, WI, USA",54,6607,22.75095583,9608780,1921
"Cook County, IL, USA",75,7997,19.96282458,9067522,1813
"St Johns County, FL, USA",112,9347,4.850362131,9244498,1848
"Prince Edward County, VA, USA",40,2196,21.29331068,2348711,469
"Palm Beach County, FL, USA",18,10600,1.080369505,8732606,1746
"Volusia County, FL, USA",141,6811,21.94317121,10409900,2081
"Santa Barbara County, CA, USA",22,10735,24.77616168,7045521,1409
"Suffolk County, NY, USA",17,11029,21.38168812,9280308,1856
"Los Angeles County, CA, USA",22,348,20.42631154,1214104,242
"Solano County, CA, USA",144,265,18.91598399,9991659,1998
"Pinellas County, FL, USA",96,7245,6.544230589,9904308,1980
"Douglas County, NE, USA",109,8576,20.44071796,10514390,2102
"Virginia Beach, VA, USA",91,6213,6.226563816,8317810,1663
"San Diego County, CA, USA",46,11869,21.77831453,7853477,1570
"Palm Beach County, FL, USA",32,12324,17.49523204,8732606,1746
"Dauphin County, PA, USA",65,8130,15.32499252,6398869,1279
"Perry County, PA, USA",20,10033,10.95397129,5837557,1167
"Barnstable County, MA, USA",119,10110,23.18095622,478154,95
"Douglas County, NE, USA",95,2857,0.285168748,10514390,2102
"El Paso County, CO, USA",141,5286,8.013668344,3180546,636
"San Francisco County, CA, USA",112,6089,7.405340954,1677439,335
"Humboldt County, CA, USA",127,8365,5.762663984,9769130,1953
"King County, WA, USA",87,5783,0.100361656,2726805,545
"Colleton County, SC, USA",72,6680,0.51432851,6327439,1265
"San Mateo County, CA, USA",122,5194,6.609237904,7237370,1447
"St Johns County, FL, USA",112,1287,8.945236405,9244498,1848
"Monterey County, CA, USA",120,5927,22.40773412,5092501,1018
"Palm Beach County, FL, USA",7,2770,24.89604362,8732606,1746
"Leelanau County, MI, USA",24,5912,20.9167866,9538233,1907
"Los Angeles County, CA, USA",121,5063,1.545512616,1214104,242
"Santa Clara County, CA, USA",118,10709,23.76630429,5755731,1151
"Palm Beach County, FL, USA",105,7937,23.01859881,8732606,1746
"Onslow County, NC, USA",76,3864,4.914790408,9053570,1810
"Lucas County, OH, USA",38,4248,22.86159227,3597514,719
"Cambria County, PA, USA",149,10831,15.90217187,4913656,982
"Los Angeles County, CA, USA",7,1013,21.91237796,1214104,242
"Humboldt County, CA, USA",61,7657,7.579809284,9769130,1953
"Los Angeles County, CA, USA",60,7593,22.04478462,1214104,242
"Horry County, SC, USA",5,9936,14.78219182,10311923,2062
"Bristol County, RI, USA",14,6757,2.503021073,3843893,768
"Cuyahoga County, OH, USA",20,3652,4.313251391,11208521,2241
"Los Angeles County, CA, USA",131,2390,16.91603418,1214104,242
"Palm Beach County, FL, USA",77,3619,2.531856588,8732606,1746
"Cobb County, GA, USA",44,8840,20.47262064,2972370,594
"Los Angeles County, CA, USA",142,3213,23.91274582,1214104,242
"Tarrant County, TX, USA",62,7471,22.78497321,1532759,306
"Dare County, NC, USA",141,9593,3.97545647,467379,93
"Pinellas County, FL, USA",37,12238,23.98320333,9904308,1980
"Cameron County, TX, USA",90,1669,20.26516024,9832293,1966
"Sarasota County, FL, USA",15,10098,11.84259785,12128650,2425
"Volusia County, FL, USA",143,10765,16.20466889,10409900,2081
"Providence County, RI, USA",45,445,23.85439741,8756613,1751
"San Francisco County, San Francisco, CA, USA",144,1054,6.939474231,6858464,1371
"Cumberland County, PA, USA",148,5052,7.12420823,2067544,413
"Pinellas County, FL, USA",63,4122,8.85511022,9904308,1980
"Miami-Dade County, FL, USA",38,5000,3.460527828,4518308,903
"Indian River County, FL, USA",0,10921,22.88836575,4124460,824
"Miami-Dade County, FL, USA",46,525,23.95042042,4518308,903
"Indian River County, FL, USA",5,683,8.69200637,4124460,824
"Bristol County, MA, USA",97,2082,7.127856071,5763318,1152
"Cook County, IL, USA",115,3484,8.675451555,9067522,1813
"Miami-Dade County, FL, USA",12,1757,3.622265766,4518308,903
"Broward County, FL, USA",81,11348,12.7580437,2737526,547
"Pinellas County, FL, USA",34,10648,6.12143975,9904308,1980
"Pinellas County, FL, USA",119,126,7.882441475,9904308,1980
"San Francisco County, CA, USA",24,7470,5.341487355,1677439,335
"Duval County, FL, USA",56,11952,16.44847274,295351,59
"Cumberland County, PA, USA",47,11699,2.635628361,2067544,413
"Palm Beach County, FL, USA",88,677,0.790959737,8732606,1746
"Palm Beach County, FL, USA",147,8976,3.509502026,8732606,1746
"Pinellas County, FL, USA",54,6567,11.61104878,9904308,1980
"Volusia County, FL, USA",134,298,20.43462512,10409900,2081
"Palm Beach County, FL, USA",53,1480,9.155449921,8732606,1746
"San Diego County, CA, USA",75,1727,11.30333523,7853477,1570
"King County, WA, USA",69,10597,4.552929399,2726805,545
"Liberty County, GA, USA",30,4002,20.11018439,7707685,1541
"Delaware County, OH, USA",30,6879,17.48742678,8733920,1746
"San Francisco County, CA, USA",0,7610,17.27671978,1677439,335
"Palm Beach County, FL, USA",86,853,2.011478846,8732606,1746
"San Bernardino County, CA, USA",118,8535,14.75569124,6407434,1281
"Volusia County, FL, USA",100,4052,19.78724273,10409900,2081
"Volusia County, FL, USA",4,3242,21.28054714,10409900,2081
"Multnomah County, OR, USA",43,4229,8.279107489,8946529,1789
"Los Angeles County, CA, USA",132,484,16.0999316,1214104,242
"Wayne County, NC, USA",18,6161,3.511175624,7569900,1513
"Cobb County, GA, USA",123,8439,2.83677724,2972370,594
"Los Angeles County, CA, USA",32,6383,0.869522608,1214104,242
"Franklin County, FL, USA",17,8948,0.488580718,5890127,1178
"Los Angeles County, CA, USA",134,8281,3.315231535,1214104,242
"Charleston County, SC, USA",57,1170,0.403265944,4774582,954
"Santa Cruz County, CA, USA",147,4392,6.258235464,9311168,1862
"Queen Anne's County, MD, USA",33,11403,22.75186778,3844971,768
"Volusia County, FL, USA",142,7839,22.24308279,10409900,2081
"Huntingdon County, PA, USA",36,8718,0.352676004,3384795,676
"Onslow County, NC, USA",111,5833,18.58048707,9053570,1810
"Washington County, RI, USA",87,792,22.35468846,5048667,1009
"Marin County, CA, USA",126,11982,1.29107626,2222618,444
"San Mateo County, CA, USA",91,11246,24.63876864,7237370,1447
"Bay County, FL, USA",148,8762,14.36133427,9998964,1999
"Craven County, NC, USA",58,6469,7.265829504,6009451,1201
"Erie County, PA, USA",29,4147,14.34286946,10452065,2090
"Loudoun County, VA, USA",107,5141,12.36285894,5797013,1159
"Philadelphia County, Philadelphia, PA, USA",84,1557,0.525554514,5766945,1153
"Kitsap County, WA, USA",102,2478,14.74851081,3514426,702
"Miami-Dade County, FL, USA",20,417,22.96597414,4518308,903
"Palm Beach County, FL, USA",16,3444,19.7551039,8732606,1746
"Honolulu County, HI, USA",26,1216,18.17896216,458547,91
"Miami-Dade County, FL, USA",60,835,21.09166558,4518308,903
"Lucas County, OH, USA",20,1675,16.11804762,3597514,719
"Ventura County, CA, USA",74,10492,4.851180115,11216018,2243
"Chester County, SC, USA",82,8671,23.36629025,9795058,1959
"King County, WA, USA",111,8547,10.22923894,2726805,545
"St Johns County, FL, USA",8,9678,19.81280554,9244498,1848
"Virginia Beach, VA, USA",126,1109,17.13782537,8317810,1663
"Palm Beach County, FL, USA",6,4271,24.90042791,8732606,1746
"Marin County, CA, USA",117,3415,0.222992935,2222618,444
"Chatham County, GA, USA",61,8171,18.73577922,8833865,1766
"Carteret County, NC, USA",63,5737,5.158406196,1244281,248
"San Diego County, CA, USA",21,9262,13.32264679,7853477,1570
"Douglas County, NE, USA",131,4127,2.305691111,10514390,2102
"Palm Beach County, FL, USA",86,10463,21.62714132,8732606,1746
"Solano County, CA, USA",63,8425,6.583018618,9991659,1998
"Washoe County, NV, USA",88,10531,0.318208419,4327797,865
"Charlotte County, FL, USA",134,11731,2.389918443,6584509,1316
"King County, WA, USA",46,8444,7.048281972,2726805,545
"Racine County, WI, USA",74,5637,6.767697746,9608780,1921
"Monmouth County, NJ, USA",127,7114,4.24410464,10682732,2136
"Grand Traverse County, MI, USA",112,12080,4.301554213,4834907,966
"Pinellas County, FL, USA",76,7885,2.952978507,9904308,1980
"Pinellas County, FL, USA",82,12062,15.03725785,9904308,1980
"Las Animas County, CO, USA",80,132,10.11297926,2748863,549
"Pinellas County, FL, USA",107,10137,19.1987513,9904308,1980
"Carroll County, NH, USA",38,6568,3.272992528,1872571,374
"Palm Beach County, FL, USA",60,1911,15.06120628,8732606,1746
"Los Angeles County, CA, USA",140,8379,21.87693926,1214104,242
"Anne Arundel County, MD, USA",145,8733,20.77534743,5778438,1155
"Milwaukee County, WI, USA",48,852,10.49505425,1417906,283
"Suffolk County, NY, USA",119,10913,22.77682496,9280308,1856
"Loudoun County, VA, USA",25,7228,17.4712593,5797013,1159
"San Diego County, CA, USA",72,8595,14.92923546,7853477,1570
"Lancaster County, VA, USA",69,2589,7.111988899,1443625,288
"San Mateo County, CA, USA",38,4700,3.451032437,7237370,1447
"Barnstable County, MA, USA",85,5216,3.976122652,478154,95
"Orange County, CA, USA",13,10372,11.94900013,6304735,1260
"Bergen County, NJ, USA",116,6033,21.02298182,9557876,1911
"St Johns County, FL, USA",7,9873,3.153699041,9244498,1848
"Wood County, OH, USA",71,2240,17.02104695,7951236,1590
"Santa Clara County, CA, USA",122,10685,14.32757558,5755731,1151
"Alameda County, CA, USA",68,504,16.71090981,11589551,2317
"Palm Beach County, FL, USA",61,6441,12.0911852,8732606,1746
"Brazoria County, TX, USA",54,6061,19.59382232,10194627,2038
"Douglas County, NE, USA",123,3719,6.450537746,10514390,2102
"Salt Lake County, UT, USA",50,2281,7.431183116,5066548,1013
"Lincoln County, OR, USA",3,4756,5.851349874,3663964,732
"Virginia Beach, VA, USA",132,9985,12.64896692,8317810,1663
"Monterey County, CA, USA",110,2649,21.71693761,5092501,1018
"San Francisco County, CA, USA",32,2384,6.641780212,1677439,335
"Volusia County, FL, USA",46,10119,20.87306627,10409900,2081
"Sheboygan County, WI, USA",97,6322,12.89076388,674491,134
"Washington, DC, USA",5,11434,6.038357215,8678626,1735
"Los Angeles County, CA, USA",111,2571,5.747469623,1214104,242
"Fairfield County, CT, USA",88,7297,18.91019246,598941,119
"Horry County, SC, USA",101,5170,12.67449025,10311923,2062
"Pinellas County, FL, USA",150,6510,14.62822211,9904308,1980
"Providence County, RI, USA",93,3805,22.31000228,8756613,1751
"King County, WA, USA",23,11852,16.68102221,2726805,545
"Volusia County, FL, USA",105,1825,3.468224397,10409900,2081
"Bay County, MI, USA",131,9709,12.81687416,2089709,417
"Colleton County, SC, USA",57,4270,8.791873863,6327439,1265
"Los Angeles County, CA, USA",49,4827,5.724089364,1214104,242
"San Diego County, CA, USA",13,7249,0.573717188,7853477,1570
"King County, WA, USA",17,10798,0.633218367,2726805,545
"Alameda County, CA, USA",37,11634,2.755819408,11589551,2317
"Los Angeles County, CA, USA",52,106,18.57447261,1214104,242
"Anne Arundel County, MD, USA",53,3569,20.81127112,5778438,1155
"Suffolk County, NY, USA",145,7933,23.53249364,9280308,1856
"Milwaukee County, WI, USA",0,254,0.310622215,1417906,283
"King County, WA, USA",92,11748,16.26423227,2726805,545
"Nueces County, TX, USA",1,11038,16.19882595,2494422,498
"King County, WA, USA",59,11531,11.75650151,2726805,545
"New Haven County, CT, USA",88,7785,16.22726781,11309618,2261
"San Mateo County, CA, USA",85,1631,16.58976459,7237370,1447
"Harrison County, MS, USA",122,7005,11.09532861,1998291,399
"Cook County, IL, USA",74,1808,1.584252743,9067522,1813
"San Diego County, CA, USA",19,6469,21.38793479,7853477,1570
"Carteret County, NC, USA",42,10255,7.704966234,1244281,248
"Leelanau County, MI, USA",138,7070,11.37367699,9538233,1907
"Santa Cruz County, CA, USA",117,1041,15.87662344,9311168,1862
"Southampton County, VA, USA",130,8362,10.75294131,2624021,524
"Humboldt County, CA, USA",146,9080,6.336743803,9769130,1953
"San Diego County, CA, USA",130,2789,4.726940168,7853477,1570
"Okaloosa County, FL, USA",60,7012,23.9786275,12234950,2446
"Monterey County, CA, USA",31,8324,4.551415887,5092501,1018
"Leelanau County, MI, USA",125,3786,4.508005942,9538233,1907
"Bronx County, NY, USA",86,11189,22.26722923,9097502,1819
"Harris County, TX, USA",61,11747,14.54828519,2538089,507
"San Mateo County, CA, USA",95,5026,24.24730572,7237370,1447
"Volusia County, FL, USA",87,3216,21.0213135,10409900,2081
"Beaufort County, SC, USA",80,2797,18.52300261,5743868,1148
"Pinellas County, FL, USA",61,8605,16.83456379,9904308,1980
"Pinellas County, FL, USA",29,2731,2.13914236,9904308,1980
"Leelanau County, MI, USA",77,1931,21.94885551,9538233,1907
"King County, WA, USA",146,12337,6.913836367,2726805,545
"Humboldt County, CA, USA",85,949,0.230413872,9769130,1953
"San Diego County, CA, USA",54,4384,20.95137514,7853477,1570
"Bell County, TX, USA",21,6310,23.72111465,3671079,734
"Hillsborough County, FL, USA",5,5888,14.20797918,2408043,481
"Miami-Dade County, FL, USA",93,3740,6.647812389,4518308,903
"Pinellas County, FL, USA",116,4176,2.815881993,9904308,1980
"Dauphin County, PA, USA",70,4458,21.51286996,6398869,1279
"Martin County, FL, USA",55,2581,6.783718793,1363198,272
"Ventura County, CA, USA",48,7284,6.139494798,11216018,2243
"Winnebago County, WI, USA",74,7331,8.760657889,5194397,1038
"King County, WA, USA",24,11091,13.09241523,2726805,545
"Volusia County, FL, USA",78,668,11.94036357,10409900,2081
"Palm Beach County, FL, USA",82,10422,16.7058817,8732606,1746
"Sarasota County, FL, USA",65,3427,13.03982146,12128650,2425
"Fairfield County, CT, USA",71,6723,12.77772628,598941,119
"Kenai Peninsula Borough, AK, USA",147,3502,1.955584635,2153951,430
"Los Angeles County, CA, USA",30,3173,24.03508426,1214104,242
"Volusia County, FL, USA",75,3010,17.30403819,10409900,2081
"Santa Cruz County, CA, USA",74,1871,23.02434651,9311168,1862
"Alameda County, CA, USA",39,12204,0.844695672,11589551,2317
"Miami-Dade County, FL, USA",102,4445,20.53499661,4518308,903
"Los Angeles County, CA, USA",149,11015,21.84352377,1214104,242
"Cuyahoga County, OH, USA",19,11740,18.84268744,11208521,2241
"Palm Beach County, FL, USA",58,2651,6.373585328,8732606,1746
"Pinellas County, FL, USA",67,5081,4.574696504,9904308,1980
"Barnstable County, MA, USA",57,923,1.342498214,478154,95
"Miami-Dade County, FL, USA",77,9079,17.28273814,4518308,903
"Honolulu County, HI, USA",89,2163,2.165107132,458547,91
"Pinellas County, FL, USA",119,2144,5.179995767,9904308,1980
"Santa Barbara County, CA, USA",145,2610,14.96674429,7045521,1409
"Cumberland County, ME, USA",78,10244,23.5127327,9265149,1853
"Washington County, WI, USA",27,554,8.700328838,10645870,2129
"Carteret County, NC, USA",36,9259,18.53691563,1244281,248
"Kent County, DE, USA",110,3722,17.07474875,736114,147
"Pinellas County, FL, USA",6,5829,12.73173441,9904308,1980
"Nueces County, TX, USA",103,6079,22.09107213,2494422,498
"Solano County, CA, USA",137,10194,15.51614252,9991659,1998
"El Paso County, CO, USA",112,8578,12.83477853,3180546,636
"Kings County, Brooklyn, NY, USA",120,11789,0.874549196,4380429,876
"Benzie County, MI, USA",147,1400,16.14839852,644048,128
"Sarasota County, FL, USA",84,8233,15.39282351,12128650,2425
"Pinellas County, FL, USA",8,1892,17.71761732,9904308,1980
"Smith County, TX, USA",45,11181,0.686156174,11449333,2289
"Sarasota County, FL, USA",86,484,0.906752988,12128650,2425
"Douglas County, NE, USA",89,3617,12.42367144,10514390,2102
"Windsor County, VT, USA",120,6942,7.333885373,12070361,2414
"Pinellas County, FL, USA",10,1026,17.01254489,9904308,1980
"Pinellas County, FL, USA",77,10929,6.898324333,9904308,1980
"Cook County, IL, USA",143,5125,9.640091608,9067522,1813
"Cook County, IL, USA",0,2839,17.41359328,9067522,1813
"Wood County, OH, USA",141,3984,5.131218648,7951236,1590
"Santa Cruz County, CA, USA",103,2293,21.82348142,9311168,1862
"Liberty County, GA, USA",53,7262,22.4946255,7707685,1541
"Cumberland County, ME, USA",48,8993,8.873156206,9265149,1853
"Los Angeles County, CA, USA",67,8544,21.38998986,1214104,242
"Kern County, CA, USA",72,1020,11.39255848,8246941,1649
"Galveston County, TX, USA",132,1626,20.2262408,1286716,257
"Los Angeles County, CA, USA",145,5610,4.968001711,1214104,242
"Harris County, TX, USA",32,203,14.79205246,2538089,507
"Los Angeles County, CA, USA",17,3217,11.95340645,1214104,242
"Pierce County, WA, USA",143,4214,16.7690604,488107,97
"Martin County, FL, USA",101,4414,12.52652661,1363198,272
"St Johns County, FL, USA",112,8940,17.94202625,9244498,1848
"Colleton County, SC, USA",83,1130,3.671665678,6327439,1265
"Washington County, OR, USA",93,11269,20.4526567,4672539,934
"Los Angeles County, CA, USA",6,7038,19.32484694,1214104,242
"Cumberland County, ME, USA",31,2040,15.90521447,9265149,1853
"Westmoreland County, PA, USA",117,12154,24.49365621,415919,83
"Los Angeles County, CA, USA",69,3730,4.949118978,1214104,242
"Liberty County, GA, USA",103,5610,19.07135048,7707685,1541
"Pierce County, WA, USA",81,4515,1.013532067,488107,97
"Cobb County, GA, USA",64,9119,18.33332954,2972370,594
"Horry County, SC, USA",67,7837,19.34938749,10311923,2062
"Pinellas County, FL, USA",63,9563,12.69314809,9904308,1980
"Miami-Dade County, FL, USA",97,8674,5.222260318,4518308,903
"Los Angeles County, CA, USA",48,10259,23.22254819,1214104,242
"Broward County, FL, USA",139,6049,8.21343066,2737526,547
"Nassau County, NY, USA",23,8306,8.474507097,10228457,2045
"Los Angeles County, CA, USA",58,2646,13.59168371,1214104,242
"Hillsborough County, FL, USA",85,4281,19.10182798,2408043,481
"Martin County, FL, USA",5,3922,13.74159939,1363198,272
"St Johns County, FL, USA",109,2421,10.84735694,9244498,1848
"Lancaster County, VA, USA",108,9632,20.65513082,1443625,288
"Washington County, RI, USA",98,11958,4.818930695,5048667,1009
"Bay County, FL, USA",29,5125,2.780585646,9998964,1999
"Los Angeles County, CA, USA",38,169,9.696522949,1214104,242
"Douglas County, NE, USA",105,10767,13.16058001,10514390,2102
"Clackamas County, OR, USA",62,11735,1.478222757,5903074,1180
"Los Angeles County, CA, USA",0,9651,12.19402879,1214104,242
"Miami-Dade County, FL, USA",135,4332,1.065747106,4518308,903
"Palm Beach County, FL, USA",86,8410,18.33726947,8732606,1746
"Erie County, PA, USA",82,9027,19.211648,10452065,2090
,149,4841,3.009253347,5670055,1134
"Broward County, FL, USA",148,1480,3.060701096,2737526,547
"Los Angeles County, CA, USA",83,9775,13.59578014,1214104,242
"Nueces County, TX, USA",68,12088,22.71739119,2494422,498
"Kings County, Brooklyn, NY, USA",99,1476,16.60226963,4380429,876
"Wood County, OH, USA",19,11164,4.893796736,7951236,1590
"Los Angeles County, CA, USA",52,10144,22.31719743,1214104,242
"Volusia County, FL, USA",131,10554,11.30629192,10409900,2081
"New Haven County, CT, USA",93,2355,7.472880471,11309618,2261
"King County, WA, USA",120,3851,21.72115488,2726805,545
"Miami-Dade County, FL, USA",31,5627,12.02038814,4518308,903
"Suffolk County, NY, USA",81,5327,12.908247,9280308,1856
"Carteret County, NC, USA",28,8992,3.901012029,1244281,248
"Dare County, NC, USA",28,8590,1.470248948,467379,93
"Prince William County, VA, USA",117,1173,11.00471091,3965518,793
"Cecil County, MD, USA",108,9050,11.09679687,7693974,1538
"Palm Beach County, FL, USA",23,215,19.73436741,8732606,1746
"Los Angeles County, CA, USA",72,8988,2.516516377,1214104,242
"Palm Beach County, FL, USA",25,5020,5.101383503,8732606,1746
"Los Angeles County, CA, USA",78,8172,8.280435472,1214104,242
"San Diego County, CA, USA",144,7882,10.43083008,7853477,1570
"Palm Beach County, FL, USA",89,368,0.470160314,8732606,1746
"San Mateo County, CA, USA",33,7170,8.322379067,7237370,1447
